ID,layout_width,layout_long,width_p,long_p,looseness_corridor_w,looseness_corridor_l,collide_I_w,collide_I_l,collide_II_w,collide_II_l,result_distance_I,result_distance_II,min_collide_result,min_distance_w,min_distance_l,remains_def_w,remains_def_l,remains_result_distance,pos_width_p,pos_long_p,final_pos_width_p,final_pos_long_p,ID_Total
12,36.400000000000006,28.0,1.2,26.0,2.0,2.0,35.2,0.0,32.0,999999,78.2,999952.0,Type_I,35.2,0.0,32.0,999999,999952.0,35.2,0.0,36.400000000000006,26.0,12
11,36.400000000000006,28.0,1.2,26.0,2.0,2.0,32.0,0.0,28.8,999999,75.0,999955.2,Type_I,32.0,0.0,28.8,999999,999955.2,32.0,0.0,33.2,26.0,11
10,36.400000000000006,28.0,1.2,26.0,2.0,2.0,28.8,0.0,25.6,999999,71.8,999958.4,Type_I,28.8,0.0,25.6,999999,999958.4,28.8,0.0,30.0,26.0,10
9,36.400000000000006,28.0,1.2,26.0,2.0,2.0,25.6,0.0,22.4,999999,68.6,999961.6,Type_I,25.6,0.0,22.4,999999,999961.6,25.6,0.0,26.8,26.0,9
8,36.400000000000006,28.0,1.2,26.0,2.0,2.0,22.4,0.0,19.2,999999,65.4,999964.8,Type_I,22.4,0.0,19.2,999999,999964.8,22.4,0.0,23.6,26.0,8
7,36.400000000000006,28.0,1.2,26.0,2.0,2.0,19.2,0.0,16.0,999999,62.2,999968.0,Type_I,19.2,0.0,16.0,999999,999968.0,19.2,0.0,20.4,26.0,7
6,36.400000000000006,28.0,1.2,26.0,2.0,2.0,16.0,0.0,12.8,999999,59.0,999971.2,Type_I,16.0,0.0,12.8,999999,999971.2,16.0,0.0,17.2,26.0,6
5,36.400000000000006,28.0,1.2,26.0,2.0,2.0,12.8,0.0,9.6,999999,55.8,999974.4,Type_I,12.8,0.0,9.6,999999,999974.4,12.8,0.0,14.0,26.0,5
4,36.400000000000006,28.0,1.2,26.0,2.0,2.0,9.6,0.0,6.4,999999,52.6,999977.6,Type_I,9.6,0.0,6.4,999999,999977.6,9.6,0.0,10.8,26.0,4
3,36.400000000000006,28.0,1.2,26.0,2.0,2.0,6.4,0.0,3.2,999999,49.4,999980.8,Type_I,6.4,0.0,3.2,999999,999980.8,6.4,0.0,7.6,26.0,3
2,36.400000000000006,28.0,1.2,26.0,2.0,2.0,3.2,0.0,0.0,999999,46.2,999984.0,Type_I,3.2,0.0,0.0,999999,999984.0,3.2,0.0,4.4,26.0,2
1,36.400000000000006,28.0,1.2,26.0,2.0,2.0,0.0,0.0,999999.0,999999,28.0,1414192.3493082544,Type_I,0.0,0.0,999999.0,999999,1414192.3493082544,0.0,0.0,1.2,26.0,1
